TMMYTP-240307	5q-ассоциированная спинальная мышечная атрофия (по утвержденным клиническим рекомендациям)-2024
PJTGTG-220214	Анафилактический шок (по утвержденным клиническим рекомендациям)-2020
TKIKPU-220302	Ботулизм у детей (по утвержденным клиническим рекомендациям)-2021
TNNIMU-241001	Ботулизм у детей (по утвержденным клиническим рекомендациям) - 2024
TKVGEV-220302	Бронхиальная астма (по утвержденным клиническим рекомендациям) - 2021
TYIDMJ-241118	Бронхиальная астма (по утвержденным клиническим рекомендациям) - 2024
TENIOJ-240610	Бронхолегочная дисплазия (по утвержденным клиническим рекомендациям)-2024
DOOTMQ-220912	Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия (по утвержденным клиническим рекомендациям)-2022
RJWTTW-220303	Внебольничная пневмония у взрослых (по утвержденным клиническим рекомендациям)-2021
TTVENC-220303	Врожденная анемия вследствие кровопотери у плода (по утвержденным клиническим рекомендациям) - 2021
NTMEIV-240728	Врожденная анемия вследствие кровопотери у плода и другие врожденные анемии новорожденных (по утвержденным клиническим рекомендациям) - 2024
DPNCEV-240209	Врожденная цитомегаловирусная инфекция (по утвержденным клиническим рекомендациям) - 2023
DAIRPU-220912	Гемолитико-уремический синдром (по утвержденным клиническим рекомендациям)-2021
TSEVDS-230208	Геморрагический инсульт (по утвержденным клиническим рекомендациям)-2022
TAIYTS-201020	Герминогенные опухоли у мужчин (по утвержденным клиническим рекомендациям)-2020
TROSAN-240209	Гидронефроз (по утвержденным клиническим рекомендациям) - 2023
DAETDI-240304	Дискогенная пояснично-крестцовая радикулопатия (по утвержденным клиническим рекомендациям)-2023
DWDWDI-210226	Доброкачественная гиперплазия предстательной железы (по утвержденным клиническим рекомендациям) - 2020
DONATD-240715	Доброкачественная гиперплазия предстательной железы (по утвержденным клиническим рекомендациям) - 2024
TNDDAV-220304	Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия) (по утвержденным клиническим рекомендациям) - 2021
TDPOWN-240715	Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия / ацидурия) (по утвержденным клиническим рекомендациям) - 2024
DWPDMS-220304	Другие виды нарушения обмена аминокислот с разветвленной цепью (Пропионовая ацидемия /ацидурия) (по утвержденным клиническим рекомендациям)-2021
TUTNVE-241014	Пропионовая ацидемия /ацидурия (по утвержденным клиническим рекомендациям) - 2024
DIVQAE-220912	Закрытая травма грудной клетки (по утвержденным клиническим рекомендациям)-2021
TTNSAA-210401	Затрудненные роды (дистоция) вследствие предлежания плечика (по утвержденным клиническим рекомендациям)-2020
TVRVNC-240923	Затрудненные роды (дистоция) вследствие предлежания плечика. Дистоция плечиков (по утвержденным клиническим рекомендациям) - 2024
RKEDRA-220305 	Изовалериановая ацидемия/ацидурия (по утвержденным клиническим рекомендациям)-2021
DAWUTU-240821	Изовалериановая ацидемия/ацидурия (по утвержденным клиническим рекомендациям) - 2024
RQDADG-220305	Инородное тело в пищеварительном тракте (по утвержденным клиническим рекомендациям)-2021
RQEGOE-241018	Инородное тело в пищеварительном тракте (по утвержденным клиническим рекомендациям) - 2024
DYPPOO-240610	Искусственный аборт (медицинский аборт) (по утвержденным клиническим рекомендациям)-2024
TDPOIN-241102	Кишечная инвагинация у детей (по утвержденным клиническим рекомендациям) - 2024
DTPOIK-240209	Крапивница (по утвержденным клиническим рекомендациям) - 2023
DVAPWU-210226	Легочная гипертензия, в том числе хроническая тромбоэмболическая легочная гипертензия (по утвержденным клиническим рекомендациям)-2020
TEVYWW-241004	Легочная гипертензия, в том числе хроническая тромбоэмболическая легочная гипертензия (по утвержденным клиническим рекомендациям) - 2024
TMTUIK-230906	Менингококковая инфекция у детей (по утвержденным клиническим рекомендациям)-2023
DWDROT-201020	Миелодиспластический синдром (по утвержденным клиническим рекомендациям)-2020
TWOUMM-210226	Мочекаменная болезнь (по утвержденным клиническим рекомендациям)-2020
TAAQAS-220309	Мукополисахаридоз тип I (по утвержденным клиническим рекомендациям) - 2021
DDVWOI-240209	Нарушение обмена фосфора (Гипофосфатазия) (по утвержденным клиническим рекомендациям)-2023
TEVORT-210219	Недостаточность питания (мальнутриция) у пациентов пожилого и старческого возраста (по утвержденным клиническим рекомендациям)-2020
DTTDPA-210311	Нейробластома у детей (по утвержденным клиническим рекомендациям)-2020
PJIOIV-240902	Ожоги термические и химические. Ожоги солнечные. Ожоги дыхательных путей (по утвержденным клиническим рекомендациям)-2024
