TMMYTP-240307	5q-ассоциированная спинальная мышечная атрофия (по утвержденным клиническим рекомендациям)-2024
PQWNPM-240327	Болезнь Меньера (по утвержденным клиническим рекомендациям)-2024
TKMYEM-220302	Болезнь Шёйермана (по утвержденным клиническим рекомендациям)-2021
DNEUDT-220303	Врожденные аномалии костей черепа и лица, врожденные костно-мышечные деформации головы и лица (по утвержденным клиническим рекомендациям) - 2021
RSADMJ-210304	Вторичное злокачественное новообразование головного мозга и мозговых оболочек (по утвержденным клиническим рекомендациям)-2020
TSEVDS-230208	Геморрагический инсульт (по утвержденным клиническим рекомендациям)-2022
DAETDI-240304	Дискогенная пояснично-крестцовая радикулопатия (по утвержденным клиническим рекомендациям)-2023
DMPPTS-220304	Дистония (по утвержденным клиническим рекомендациям)-2021
DDVWOI-240209	Нарушение обмена фосфора (Гипофосфатазия) (по утвержденным клиническим рекомендациям)-2023
DWWPTG-210226	Нейрогенная дисфункция нижних мочевыводящих путей (по утвержденным клиническим рекомендациям)-2020
TCMSOQ-220912	Нервно-мышечный сколиоз (по утвержденным клиническим рекомендациям)-2021
DVPYWV-230209	Острые отравления опиоидными наркотическими веществами (по утвержденным клиническим рекомендациям)-2022
TWPEVG-220913	Открытая рана головы (по утвержденным клиническим рекомендациям)-2022
DVRSTY-220913	Очаговая травма головного мозга (по утвержденным клиническим рекомендациям)-2022
DVWPNG-201020	Первичные опухоли центральной нервной системы (по утвержденным клиническим рекомендациям)-2020
DWNAOP-220310	Перелом (вывих) грудного и пояснично-крестцового отдела позвоночника (по утвержденным клиническим рекомендациям)-2021
TYPEWP-241105	Перелом (вывих) грудного и пояснично-крестцового отдела позвоночника (по утвержденным клиническим рекомендациям) - 2024
TWNWWK-220310	Перелом верхней челюсти (по утвержденным клиническим рекомендациям)-2021
DSTVEY-220310	Перелом нижней челюсти (по утвержденным клиническим рекомендациям) - 2021
RKWOOP-220311	Перелом скуловой кости (по утвержденным клиническим рекомендациям)-2021
PQDQRE-240212	Проксимальная спинальная мышечная атрофия 5q. Дети (по утвержденным клиническим рекомендациям) - 2023
TEIEOM-240304	Скелетно-мышечные (неспецифические) боли в нижней части спины (по утвержденным клиническим рекомендациям)-2023
TVAMIS-220914	Сотрясение головного мозга (по утвержденным клиническим рекомендациям)-2022
PJINNE-240209	Хронический болевой синдром (ХБС) у взрослых пациентов, нуждающихся в паллиативной медицинской помощи (по утвержденным клиническим рекомендациям) - 2023
DVMREI-230210	Черепно-мозговая травма у детей (по утвержденным клиническим рекомендациям)-2022
TVNOTC-230210	Эпилепсия и эпилептический статус у взрослых и детей (по утвержденным клиническим рекомендациям)-2022
